Shinagawa,Osaki,Gotanda,Meguro,Ebisu,Shibuya,Harajuku,Yoyogi,Shinjuku,Shin-Okubo,Takadanobaba,Mejiro,Ikebukuro,Otsuka,Sugamo,Komagome,Tabata,Nishi-Nippori,Nippori,Uguisudani,Ueno,Okachimachi,Akihabara,Kanda,Tokyo,Yurakucho,Shimbashi,Hamamatsucho,Tamachi,Ochanomizu,Suidobashi,Iidabashi,Ichigaya,Yotsuya,Shinanomachi,Sendagaya
0.0,1.36,1.4,2.16,3.29,4.69,5.67,6.91,7.64,8.8,9.87,10.7,11.5,11.51,11.66,12.03,12.35,11.78,11.44,10.92,10.14,9.37,8.36,7.61,6.39,5.6,4.56,3.41,2.07,8.23,8.28,8.2,6.95,6.45,5.97,6.36
1.36,0.0,0.82,1.94,3.41,4.88,6.06,7.41,8.17,9.4,10.55,11.43,12.29,12.43,12.67,13.09,13.48,12.95,12.64,12.16,11.39,10.62,9.63,8.88,7.68,6.88,5.85,4.74,3.37,9.46,9.42,9.27,7.94,7.37,6.73,6.99
1.4,0.82,0.0,1.13,2.59,4.06,5.25,6.62,7.38,8.61,9.78,10.68,11.55,11.74,12.01,12.46,12.9,12.4,12.11,11.68,10.93,10.16,9.19,8.46,7.28,6.48,5.46,4.44,3.07,8.97,8.86,8.66,7.29,6.7,6.0,6.22
2.16,1.94,1.13,0.0,1.49,2.96,4.19,5.58,6.34,7.6,8.8,9.72,10.62,10.91,11.24,11.73,12.26,11.82,11.57,11.22,10.5,9.75,8.82,8.12,6.99,6.21,5.26,4.42,3.15,8.52,8.29,8.0,6.57,5.93,5.13,5.25
3.29,3.41,2.59,1.49,0.0,1.48,2.7,4.11,4.87,6.13,7.35,8.29,9.21,9.59,10.0,10.53,11.16,10.79,10.58,10.33,9.66,8.95,8.09,7.44,6.43,5.71,4.88,4.36,3.39,7.69,7.3,6.92,5.44,4.75,3.82,3.84
4.69,4.88,4.06,2.96,1.48,0.0,1.36,2.78,3.53,4.8,6.07,7.03,7.99,8.54,9.04,9.64,10.39,10.12,9.98,9.86,9.26,8.6,7.86,7.3,6.45,5.84,5.21,5.02,4.37,7.36,6.77,6.27,4.78,4.05,2.97,2.72
5.67,6.06,5.25,4.19,2.7,1.36,0.0,1.43,2.18,3.46,4.71,5.67,6.63,7.22,7.76,8.39,9.2,8.99,8.9,8.87,8.33,7.73,7.09,6.61,5.95,5.46,5.05,5.19,4.89,6.52,5.8,5.21,3.76,3.05,1.93,1.45
6.91,7.41,6.62,5.58,4.11,2.78,1.43,0.0,0.76,2.03,3.29,4.26,5.22,5.91,6.53,7.2,8.11,7.99,7.97,8.08,7.63,7.11,6.63,6.29,5.88,5.56,5.41,5.85,5.84,5.99,5.1,4.42,3.15,2.57,1.68,0.86
7.64,8.17,7.38,6.34,4.87,3.53,2.18,0.76,0.0,1.28,2.56,3.54,4.52,5.3,5.99,6.69,7.66,7.62,7.65,7.84,7.46,7.01,6.63,6.37,6.1,5.88,5.85,6.39,6.49,5.95,4.99,4.26,3.18,2.72,2.1,1.37
8.8,9.4,8.61,7.6,6.13,4.8,3.46,2.03,1.28,0.0,1.3,2.29,3.29,4.23,5.02,5.77,6.84,6.92,7.03,7.37,7.11,6.78,6.59,6.47,6.44,6.37,6.53,7.24,7.51,5.88,4.81,4.05,3.39,3.19,2.97,2.44
9.87,10.55,9.78,8.8,7.35,6.07,4.71,3.29,2.56,1.3,0.0,0.99,1.99,3.09,3.97,4.74,5.9,6.11,6.29,6.79,6.67,6.46,6.47,6.5,6.71,6.79,7.13,7.99,8.43,5.76,4.66,3.92,3.76,3.8,3.92,3.56
10.7,11.43,10.68,9.72,8.29,7.03,5.67,4.26,3.54,2.29,0.99,0.0,1.01,2.29,3.25,4.03,5.25,5.58,5.84,6.45,6.44,6.35,6.52,6.67,7.04,7.23,7.68,8.62,9.17,5.83,4.74,4.07,4.26,4.44,4.74,4.46
11.5,12.29,11.55,10.62,9.21,7.99,6.63,5.22,4.52,3.29,1.99,1.01,0.0,1.6,2.6,3.35,4.61,5.06,5.39,6.12,6.24,6.27,6.59,6.85,7.39,7.67,8.22,9.24,9.88,5.94,4.91,4.33,4.82,5.13,5.56,5.37
11.51,12.43,11.74,10.91,9.59,8.54,7.22,5.91,5.3,4.23,3.09,2.29,1.6,0.0,1.0,1.76,3.01,3.47,3.83,4.62,4.83,4.98,5.47,5.86,6.61,7.03,7.75,8.87,9.71,4.89,4.0,3.62,4.57,5.07,5.79,5.82
11.66,12.67,12.01,11.24,10.0,9.04,7.76,6.53,5.99,5.02,3.97,3.25,2.6,1.0,0.0,0.78,2.01,2.5,2.89,3.74,4.05,4.31,4.95,5.44,6.32,6.84,7.65,8.83,9.78,4.45,3.72,3.52,4.73,5.32,6.17,6.33
12.03,13.09,12.46,11.73,10.53,9.64,8.39,7.2,6.69,5.77,4.74,4.03,3.35,1.76,0.78,0.0,1.26,1.86,2.33,3.26,3.7,4.09,4.85,5.42,6.41,7.0,7.87,9.07,10.1,4.45,3.88,3.84,5.17,5.81,6.73,6.95
12.35,13.48,12.9,12.26,11.16,10.39,9.2,8.11,7.66,6.84,5.9,5.25,4.61,3.01,2.01,1.26,0.0,0.88,1.42,2.42,3.06,3.63,4.56,5.23,6.36,7.04,7.99,9.21,10.35,4.33,4.07,4.26,5.72,6.41,7.43,7.75
11.78,12.95,12.4,11.82,10.79,10.12,8.99,7.99,7.62,6.92,6.11,5.58,5.06,3.47,2.5,1.86,0.88,0.0,0.55,1.55,2.2,2.81,3.78,4.48,5.65,6.36,7.34,8.57,9.75,3.63,3.54,3.87,5.36,6.08,7.15,7.56
11.44,12.64,12.11,11.57,10.58,9.98,8.9,7.97,7.65,7.03,6.29,5.84,5.39,3.83,2.89,2.33,1.42,0.55,0.0,1.0,1.67,2.32,3.32,4.04,5.23,5.96,6.96,8.18,9.4,3.24,3.29,3.71,5.2,5.93,7.02,7.48
10.92,12.16,11.68,11.22,10.33,9.86,8.87,8.08,7.84,7.37,6.79,6.45,6.12,4.62,3.74,3.26,2.42,1.55,1.0,0.0,0.81,1.57,2.6,3.36,4.58,5.35,6.38,7.58,8.86,2.71,3.09,3.67,5.11,5.83,6.95,7.5
10.14,11.39,10.93,10.5,9.66,9.26,8.33,7.63,7.46,7.11,6.67,6.44,6.24,4.83,4.05,3.7,3.06,2.2,1.67,0.81,0.0,0.77,1.8,2.55,3.78,4.56,5.59,6.79,8.07,1.98,2.54,3.22,4.57,5.28,6.4,7.01
9.37,10.62,10.16,9.75,8.95,8.6,7.73,7.11,7.01,6.78,6.46,6.35,6.27,4.98,4.31,4.09,3.63,2.81,2.32,1.57,0.77,0.0,1.03,1.78,3.01,3.79,4.81,6.02,7.3,1.25,2.02,2.76,4.0,4.68,5.8,6.45
8.36,9.63,9.19,8.82,8.09,7.86,7.09,6.63,6.63,6.59,6.47,6.52,6.59,5.47,4.95,4.85,4.56,3.78,3.32,2.6,1.8,1.03,0.0,0.76,1.98,2.77,3.8,4.99,6.29,0.71,1.81,2.56,3.48,4.1,5.18,5.9
7.61,8.88,8.46,8.12,7.44,7.3,6.61,6.29,6.37,6.47,6.5,6.67,6.85,5.86,5.44,5.42,5.23,4.48,4.04,3.36,2.55,1.78,0.76,0.0,1.23,2.02,3.05,4.24,5.54,0.98,1.94,2.6,3.19,3.73,4.75,5.51
6.39,7.68,7.28,6.99,6.43,6.45,5.95,5.88,6.1,6.44,6.71,7.04,7.39,6.61,6.32,6.41,6.36,5.65,5.23,4.58,3.78,3.01,1.98,1.23,0.0,0.8,1.83,3.01,4.32,2.02,2.62,3.06,3.05,3.38,4.23,5.04
5.6,6.88,6.48,6.21,5.71,5.84,5.46,5.56,5.88,6.37,6.79,7.23,7.67,7.03,6.84,7.0,7.04,6.36,5.96,5.35,4.56,3.79,2.77,2.02,0.8,0.0,1.03,2.23,3.52,2.73,3.13,3.42,3.04,3.2,3.88,4.71
4.56,5.85,5.46,5.26,4.88,5.21,5.05,5.41,5.85,6.53,7.13,7.68,8.22,7.75,7.65,7.87,7.99,7.34,6.96,6.38,5.59,4.81,3.8,3.05,1.83,1.03,0.0,1.23,2.49,3.72,3.99,4.15,3.43,3.36,3.76,4.56
3.41,4.74,4.44,4.42,4.36,5.02,5.19,5.85,6.39,7.24,7.99,8.62,9.24,8.87,8.83,9.07,9.21,8.57,8.18,7.58,6.79,6.02,4.99,4.24,3.01,2.23,1.23,0.0,1.38,4.95,5.2,5.31,4.41,4.2,4.31,5.04
2.07,3.37,3.07,3.15,3.39,4.37,4.89,5.84,6.49,7.51,8.43,9.17,9.88,9.71,9.78,10.1,10.35,9.75,9.4,8.86,8.07,7.3,6.29,5.54,4.32,3.52,2.49,1.38,0.0,6.17,6.29,6.27,5.15,4.76,4.54,5.13
8.23,9.46,8.97,8.52,7.69,7.36,6.52,5.99,5.95,5.88,5.76,5.83,5.94,4.89,4.45,4.45,4.33,3.63,3.24,2.71,1.98,1.25,0.71,0.98,2.02,2.73,3.72,4.95,6.17,0.0,1.1,1.85,2.84,3.49,4.59,5.28
8.28,9.42,8.86,8.29,7.3,6.77,5.8,5.1,4.99,4.81,4.66,4.74,4.91,4.0,3.72,3.88,4.07,3.54,3.29,3.09,2.54,2.02,1.81,1.94,2.62,3.13,3.99,5.2,6.29,1.1,0.0,0.76,2.03,2.75,3.87,4.46
8.2,9.27,8.66,8.0,6.92,6.27,5.21,4.42,4.26,4.05,3.92,4.07,4.33,3.62,3.52,3.84,4.26,3.87,3.71,3.67,3.22,2.76,2.56,2.6,3.06,3.42,4.15,5.31,6.27,1.85,0.76,0.0,1.5,2.22,3.31,3.83
6.95,7.94,7.29,6.57,5.44,4.78,3.76,3.15,3.18,3.39,3.76,4.26,4.82,4.57,4.73,5.17,5.72,5.36,5.2,5.11,4.57,4.0,3.48,3.19,3.05,3.04,3.43,4.41,5.15,2.84,2.03,1.5,0.0,0.73,1.84,2.45
6.45,7.37,6.7,5.93,4.75,4.05,3.05,2.57,2.72,3.19,3.8,4.44,5.13,5.07,5.32,5.81,6.41,6.08,5.93,5.83,5.28,4.68,4.1,3.73,3.38,3.2,3.36,4.2,4.76,3.49,2.75,2.22,0.73,0.0,1.12,1.8
5.97,6.73,6.0,5.13,3.82,2.97,1.93,1.68,2.1,2.97,3.92,4.74,5.56,5.79,6.17,6.73,7.43,7.15,7.02,6.95,6.4,5.8,5.18,4.75,4.23,3.88,3.76,4.31,4.54,4.59,3.87,3.31,1.84,1.12,0.0,0.83
6.36,6.99,6.22,5.25,3.84,2.72,1.45,0.86,1.37,2.44,3.56,4.46,5.37,5.82,6.33,6.95,7.75,7.56,7.48,7.5,7.01,6.45,5.9,5.51,5.04,4.71,4.56,5.04,5.13,5.28,4.46,3.83,2.45,1.8,0.83,0.0
